sex,age_group,covid_19_deaths
Male,Under 1 year,25.014526516384255
Male,1-4 years,12.507263258192127
Male,5-14 years,34.88868172022014
Male,15-24 years,328.4802297809406
Male,25-34 years,1524.5695634722613
Male,30-39 years,2550.1651506440157
Male,35-44 years,4082.634038279346
Male,40-49 years,6990.90188431581
Male,45-54 years,11662.035572743775
Male,55-64 years,28457.973574468622
Male,65-74 years,49148.27838858635
Male,75-84 years,56749.403064499216
Male,85 years and over,47167.522854696865
Female,Under 1 year,16.45692533972648
Female,1-4 years,7.899324163068712
Female,5-14 years,28.30591158432955
Female,15-24 years,217.23141448438957
Female,25-34 years,889.3322453588191
Female,30-39 years,1383.6982825642026
Female,35-44 years,2196.670394346691
Female,40-49 years,3676.4771208948964
Female,45-54 years,5902.111703839506
Female,55-64 years,16150.168251393981
Female,65-74 years,31092.398182852037
Female,75-84 years,43837.95771996341
Female,85 years and over,63658.02032211639
Male,Under 1 year,21.72314144843896
Male,1-4 years,9.21587819024683
Male,5-14 years,25.014526516384255
Male,15-24 years,243.56249502795194
Male,25-34 years,1081.5491333268244
Male,30-39 years,1842.517361035777
Male,35-44 years,2926.6996024169575
Male,40-49 years,4913.379629428739
Male,45-54 years,8030.979565786523
Male,55-64 years,19137.42933906113
Male,65-74 years,32979.67838081187
Male,75-84 years,38874.5490375019
Male,85 years and over,33479.96891113956
Female,Under 1 year,11.848986244603068
Female,1-4 years,7.241047149479653
Female,5-14 years,18.43175638049366
Female,15-24 years,152.72026715266176
Female,25-34 years,620.0969468008939
Female,30-39 years,945.2857915138892
Female,35-44 years,1492.3139898063976
Female,40-49 years,2469.1970779725616
Female,45-54 years,3933.8634332082183
Female,55-64 years,10659.479681047638
Female,65-74 years,20790.36292018326
Female,75-84 years,30555.902416776957
Female,85 years and over,46785.063909801625
Male,Under 1 year,3.2913850679452965
Male,1-4 years,3.2913850679452965
Male,5-14 years,9.87415520383589
Male,15-24 years,84.91773475298865
Male,25-34 years,443.02043014543693
Male,30-39 years,707.6477896082388
Male,35-44 years,1155.9344358623882
Male,40-49 years,2077.522254887071
Male,45-54 years,3631.056006957251
Male,55-64 years,9320.544235407491
Male,65-74 years,16168.600007774476
Male,75-84 years,17874.854026997316
Male,85 years and over,13687.55394355731
Female,Under 1 year,4.607939095123415
Female,1-4 years,0.6582770135890593
Female,5-14 years,9.87415520383589
Female,15-24 years,64.51114733172781
Female,25-34 years,269.23529855792526
Female,30-39 years,438.4124910503135
Female,35-44 years,704.3564045402935
Female,40-49 years,1207.2800429223348
Female,45-54 years,1968.2482706312874
Female,55-64 years,5490.688570346344
Female,65-74 years,10302.035262668778
Female,75-84 years,13282.05530318645
Female,85 years and over,16872.95641231477
Male,Under 1 year,0.0
Male,1-4 years,0.0
Male,5-14 years,0.0
Male,15-24 years,0.0
Male,25-34 years,0.0
Male,30-39 years,0.0
Male,35-44 years,0.0
Male,40-49 years,0.0
Male,45-54 years,0.0
Male,55-64 years,0.0
Male,65-74 years,0.6582770135890593
Male,75-84 years,0.6582770135890593
Male,85 years and over,0.0
Female,Under 1 year,0.0
Female,1-4 years,0.0
Female,5-14 years,0.0
Female,15-24 years,0.0
Female,25-34 years,0.0
Female,30-39 years,0.0
Female,35-44 years,0.0
Female,40-49 years,0.0
Female,45-54 years,0.6582770135890593
Female,55-64 years,0.0
Female,65-74 years,0.6582770135890593
Female,75-84 years,0.0
Female,85 years and over,0.0
Male,Under 1 year,0.0
Male,1-4 years,0.0
Male,5-14 years,0.0
Male,15-24 years,0.0
Male,25-34 years,0.0
Male,30-39 years,0.0
Male,35-44 years,0.0
Male,40-49 years,0.0
Male,45-54 years,1.3165540271781186
Male,55-64 years,1.3165540271781186
Male,65-74 years,1.3165540271781186
Male,75-84 years,0.6582770135890593
Male,85 years and over,0.6582770135890593
Female,Under 1 year,0.0
Female,1-4 years,0.0
Female,5-14 years,0.0
Female,15-24 years,0.0
Female,25-34 years,0.0
Female,30-39 years,1.3165540271781186
Female,35-44 years,1.3165540271781186
Female,40-49 years,0.0
Female,45-54 years,0.0
Female,55-64 years,1.3165540271781186
Female,65-74 years,0.6582770135890593
Female,75-84 years,0.6582770135890593
Female,85 years and over,1.3165540271781186
Male,Under 1 year,1.3165540271781186
Male,1-4 years,0.6582770135890593
Male,5-14 years,1.3165540271781186
Male,15-24 years,7.241047149479653
Male,25-34 years,46.07939095123415
Male,30-39 years,80.9680726714543
Male,35-44 years,111.90709231014009
Male,40-49 years,163.91097638367577
Male,45-54 years,246.85388009589724
Male,55-64 years,471.32634172976645
Male,65-74 years,683.9498171190327
Male,75-84 years,728.7126540430887
Male,85 years and over,553.6109684283989
Female,Under 1 year,0.6582770135890593
Female,1-4 years,0.0
Female,5-14 years,0.0
Female,15-24 years,1.3165540271781186
Female,25-34 years,19.74831040767178
Female,30-39 years,26.989357557151433
Female,35-44 years,42.788005883288854
Female,40-49 years,62.536316290960634
Female,45-54 years,96.10844398400266
Female,55-64 years,211.30692136208805
Female,65-74 years,380.4841138544763
Female,75-84 years,501.6070843548632
Female,85 years and over,564.1434006458238
Male,Under 1 year,1.3165540271781186
Male,1-4 years,0.0
Male,5-14 years,1.974831040767178
Male,15-24 years,36.20523574739826
Male,25-34 years,194.1917190087725
Male,30-39 years,342.30404706631083
Male,35-44 years,529.2547189256037
Male,40-49 years,884.7243062636958
Male,45-54 years,1485.0729426569178
Male,55-64 years,3472.411246682288
Male,65-74 years,5728.326572251995
Male,75-84 years,6451.773010186371
Male,85 years and over,5628.268466186457
Female,Under 1 year,1.3165540271781186
Female,1-4 years,0.6582770135890593
Female,5-14 years,1.3165540271781186
Female,15-24 years,18.43175638049366
Female,25-34 years,90.18395086170112
Female,30-39 years,129.6805716770447
Female,35-44 years,203.40759719901934
Female,40-49 years,365.34374254192795
Female,45-54 years,609.564514583469
Female,55-64 years,1752.9916871876649
Female,65-74 years,3336.806181882942
Female,75-84 years,5163.524894592581
Female,85 years and over,8258.743412488338
Male,Under 1 year,0.6582770135890593
Male,1-4 years,1.3165540271781186
Male,5-14 years,5.266216108712475
Male,15-24 years,20.406587421260838
Male,25-34 years,112.56536932372914
Male,30-39 years,179.05134769622413
Male,35-44 years,285.69222389765173
Male,40-49 years,479.2256658928352
Male,45-54 years,776.76687603509
Male,55-64 years,1882.6722588647096
Male,65-74 years,3081.3947006103867
Male,75-84 years,3389.4683429700663
Male,85 years and over,3201.2011170835954
Female,Under 1 year,1.3165540271781186
Female,1-4 years,1.3165540271781186
Female,5-14 years,0.0
Female,15-24 years,12.507263258192127
Female,25-34 years,45.421113937645096
Female,30-39 years,75.04357954915277
Female,35-44 years,119.14813945961974
Female,40-49 years,203.40759719901934
Female,45-54 years,347.57026317502334
Female,55-64 years,990.0486284379452
Female,65-74 years,2016.9607696368778
Female,75-84 years,3041.2398027814543
Female,85 years and over,5813.902584018572
Male,Under 1 year,3.2913850679452965
Male,1-4 years,0.6582770135890593
Male,5-14 years,0.6582770135890593
Male,15-24 years,17.115202353315542
Male,25-34 years,77.01841058991994
Male,30-39 years,126.3891866090994
Male,35-44 years,188.92550290006002
Male,40-49 years,306.75708833250167
Male,45-54 years,498.973976300507
Male,55-64 years,1011.1134928727952
Male,65-74 years,1512.0623002140692
Male,75-84 years,1525.8861174994395
Male,85 years and over,1342.226830708092
Female,Under 1 year,0.6582770135890593
Female,1-4 years,1.974831040767178
Female,5-14 years,0.6582770135890593
Female,15-24 years,14.482094298959305
Female,25-34 years,44.104559910466975
Female,30-39 years,68.46080941326217
Female,35-44 years,95.4501669704136
Female,40-49 years,144.82094298959305
Female,45-54 years,250.8035421774316
Female,55-64 years,556.2440764827551
Female,65-74 years,970.3003180302734
Female,75-84 years,1421.878349352368
Female,85 years and over,2269.7391428550764
Male,Under 1 year,3.2913850679452965
Male,1-4 years,0.6582770135890593
Male,5-14 years,5.924493122301534
Male,15-24 years,38.8383438017545
Male,25-34 years,148.11232805753835
Male,30-39 years,247.5121571094863
Male,35-44 years,392.33310009907933
Male,40-49 years,583.2334340399066
Male,45-54 years,860.3680567609006
Male,55-64 years,1881.3557048375314
Male,65-74 years,2809.5262939981053
Male,75-84 years,3009.6425061291793
Male,85 years and over,2288.8291762491594
Female,Under 1 year,0.6582770135890593
Female,1-4 years,0.0
Female,5-14 years,3.2913850679452965
Female,15-24 years,26.331080543562372
Female,25-34 years,82.28462669863242
Female,30-39 years,124.41435556833221
Female,35-44 years,200.11621213107404
Female,40-49 years,292.2749940335423
Female,45-54 years,449.60320028132753
Female,55-64 years,1067.7253160414543
Female,65-74 years,1826.0604356960505
Female,75-84 years,2275.663635977378
Female,85 years and over,3045.1894648629886
Male,Under 1 year,0.6582770135890593
