condition_group,condition,age_group,number_covid19_deaths
Respiratory diseases,Influenza and pneumonia,0-24,248.17043412307535
Respiratory diseases,Influenza and pneumonia,25-34,1117.7543690742227
Respiratory diseases,Influenza and pneumonia,35-44,3005.0345670340557
Respiratory diseases,Influenza and pneumonia,45-54,9029.585795401126
Respiratory diseases,Influenza and pneumonia,55-64,23235.203748653028
Respiratory diseases,Influenza and pneumonia,65-74,40761.17095844814
Respiratory diseases,Influenza and pneumonia,75-84,47576.971157149266
Respiratory diseases,Influenza and pneumonia,85+,43509.477490182464
Respiratory diseases,Influenza and pneumonia,All Ages,168486.65990513333
Respiratory diseases,Chronic lower respiratory diseases,0-24,32.255573665863906
Respiratory diseases,Chronic lower respiratory diseases,25-34,100.05810606553702
Respiratory diseases,Chronic lower respiratory diseases,35-44,254.0949272453769
Respiratory diseases,Chronic lower respiratory diseases,45-54,795.8569094291727
Respiratory diseases,Chronic lower respiratory diseases,55-64,3288.7519598909403
Respiratory diseases,Chronic lower respiratory diseases,65-74,8140.253550042307
Respiratory diseases,Chronic lower respiratory diseases,75-84,11158.453657348145
Respiratory diseases,Chronic lower respiratory diseases,85+,9415.994402377904
Respiratory diseases,Chronic lower respiratory diseases,All Ages,33186.377363078835
Respiratory diseases,Adult respiratory distress syndrome,0-24,100.71638307912608
Respiratory diseases,Adult respiratory distress syndrome,25-34,385.0920529495997
Respiratory diseases,Adult respiratory distress syndrome,35-44,1034.1531883484122
Respiratory diseases,Adult respiratory distress syndrome,45-54,3080.7364235967975
Respiratory diseases,Adult respiratory distress syndrome,55-64,7110.708300789019
Respiratory diseases,Adult respiratory distress syndrome,65-74,10869.470048382547
Respiratory diseases,Adult respiratory distress syndrome,75-84,9371.231565453849
Respiratory diseases,Adult respiratory distress syndrome,85+,5854.7157588610935
Respiratory diseases,Adult respiratory distress syndrome,All Ages,37807.48199847403
Respiratory diseases,Respiratory failure,0-24,194.1917190087725
Respiratory diseases,Respiratory failure,25-34,793.8820783884055
Respiratory diseases,Respiratory failure,35-44,2188.771070183622
Respiratory diseases,Respiratory failure,45-54,6842.789556258272
Respiratory diseases,Respiratory failure,55-64,18302.075808816615
Respiratory diseases,Respiratory failure,65-74,34016.46467721464
Respiratory diseases,Respiratory failure,75-84,40726.94055374151
Respiratory diseases,Respiratory failure,85+,36028.15923074281
Respiratory diseases,Respiratory failure,All Ages,139095.24952539543
Respiratory diseases,Respiratory arrest,0-24,11.848986244603068
Respiratory diseases,Respiratory arrest,25-34,44.76283692405603
Respiratory diseases,Respiratory arrest,35-44,111.90709231014009
Respiratory diseases,Respiratory arrest,45-54,323.21401367222813
Respiratory diseases,Respiratory arrest,55-64,857.7349487065443
Respiratory diseases,Respiratory arrest,65-74,1552.8754750565909
Respiratory diseases,Respiratory arrest,75-84,2147.9578953411005
Respiratory diseases,Respiratory arrest,85+,2630.474946301881
Respiratory diseases,Respiratory arrest,All Ages,7680.776194557144
Respiratory diseases,Other diseases of the respiratory system,0-24,45.421113937645096
Respiratory diseases,Other diseases of the respiratory system,25-34,132.97195674499
Respiratory diseases,Other diseases of the respiratory system,35-44,313.33985846839226
Respiratory diseases,Other diseases of the respiratory system,45-54,842.5945773939959
Respiratory diseases,Other diseases of the respiratory system,55-64,2246.0411703658706
Respiratory diseases,Other diseases of the respiratory system,65-74,3833.1470501290923
Respiratory diseases,Other diseases of the respiratory system,75-84,4396.632173761327
Respiratory diseases,Other diseases of the respiratory system,85+,3816.031847775777
Respiratory diseases,Other diseases of the respiratory system,All Ages,15626.83802559068
Circulatory diseases,Hypertensive diseases,0-24,22.381418462028016
Circulatory diseases,Hypertensive diseases,25-34,203.40759719901934
Circulatory diseases,Hypertensive diseases,35-44,863.6594418288458
Circulatory diseases,Hypertensive diseases,45-54,2893.127474723916
Circulatory diseases,Hypertensive diseases,55-64,8365.384288689766
Circulatory diseases,Hypertensive diseases,65-74,16027.070449852827
Circulatory diseases,Hypertensive diseases,75-84,20307.18759220889
