measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,United States,Male,10 to 14,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,10 to 14,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,15 to 19,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,15 to 19,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,20 to 24,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,20 to 24,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,25 to 29,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,25 to 29,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,30 to 34,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,30 to 34,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,35 to 39,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,35 to 39,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,40 to 44,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,40 to 44,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,45 to 49,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,45 to 49,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,50 to 54,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,50 to 54,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,55 to 59,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,55 to 59,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,60 to 64,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,60 to 64,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,65 to 69,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,65 to 69,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,70 to 74,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,70 to 74,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,75 to 79,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,75 to 79,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,80 plus,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Female,80 plus,All causes,Percent,2017,1.0,1.0,1.0
Prevalence,United States,Male,10 to 14,Lower respiratory infections,Percent,2017,0.000724602117922,0.00100299174489,0.00050388914507
Prevalence,United States,Female,10 to 14,Lower respiratory infections,Percent,2017,0.00065098042678,0.000902205144554,0.00044911834277
Prevalence,United States,Male,15 to 19,Lower respiratory infections,Percent,2017,0.000553149412685,0.00066681254706,0.000444887857916
Prevalence,United States,Female,15 to 19,Lower respiratory infections,Percent,2017,0.000613643641205,0.000741222778533,0.00049550093993
Prevalence,United States,Male,20 to 24,Lower respiratory infections,Percent,2017,0.000504164377006,0.0006210337444,0.000395674820821
Prevalence,United States,Female,20 to 24,Lower respiratory infections,Percent,2017,0.000654123310913,0.000795828750281,0.00052114311336
Prevalence,United States,Male,25 to 29,Lower respiratory infections,Percent,2017,0.000569481923335,0.000651103113493,0.000495174694608
Prevalence,United States,Female,25 to 29,Lower respiratory infections,Percent,2017,0.000740551433371,0.000846307012731,0.00064898415352
Prevalence,United States,Male,30 to 34,Lower respiratory infections,Percent,2017,0.0006406236994,0.000714582580715,0.000570515478725
Prevalence,United States,Female,30 to 34,Lower respiratory infections,Percent,2017,0.000830310146649,0.000927091345823,0.000741604905847
Prevalence,United States,Male,35 to 39,Lower respiratory infections,Percent,2017,0.000714864347556,0.000817775712681,0.000623379159966
Prevalence,United States,Female,35 to 39,Lower respiratory infections,Percent,2017,0.000922323156377,0.00105389149786,0.000801778708302
Prevalence,United States,Male,40 to 44,Lower respiratory infections,Percent,2017,0.000780371989569,0.000891677078489,0.000681630652766
Prevalence,United States,Female,40 to 44,Lower respiratory infections,Percent,2017,0.000999832330581,0.00114299309137,0.000864266649757
Prevalence,United States,Male,45 to 49,Lower respiratory infections,Percent,2017,0.000832502381226,0.000919023820093,0.000755807613084
Prevalence,United States,Female,45 to 49,Lower respiratory infections,Percent,2017,0.0010578785365,0.00116734734777,0.000954723645128
Prevalence,United States,Male,50 to 54,Lower respiratory infections,Percent,2017,0.000884730332343,0.00097703396,0.00080503739722
Prevalence,United States,Female,50 to 54,Lower respiratory infections,Percent,2017,0.00111751481376,0.00123180635974,0.00101160014318
Prevalence,United States,Male,55 to 59,Lower respiratory infections,Percent,2017,0.000938068704554,0.0010504361858,0.000823198199213
Prevalence,United States,Female,55 to 59,Lower respiratory infections,Percent,2017,0.00117773366704,0.00131101139824,0.00103606774821
Prevalence,United States,Male,60 to 64,Lower respiratory infections,Percent,2017,0.00105747480655,0.00117664087279,0.000935537560299
Prevalence,United States,Female,60 to 64,Lower respiratory infections,Percent,2017,0.00125529414819,0.00139565788619,0.00110762813767
Prevalence,United States,Male,65 to 69,Lower respiratory infections,Percent,2017,0.00126663428976,0.00136882987095,0.00116262301765
Prevalence,United States,Female,65 to 69,Lower respiratory infections,Percent,2017,0.00135696736865,0.0014670355478,0.00124382118301
Prevalence,United States,Male,70 to 74,Lower respiratory infections,Percent,2017,0.00147580878049,0.00160881272944,0.00133765965818
Prevalence,United States,Female,70 to 74,Lower respiratory infections,Percent,2017,0.00145749353698,0.00157986465546,0.00133738081661
Prevalence,United States,Male,75 to 79,Lower respiratory infections,Percent,2017,0.00168399152702,0.00188256619545,0.00149194466465
Prevalence,United States,Female,75 to 79,Lower respiratory infections,Percent,2017,0.00155865822381,0.00173691057742,0.00139081517001
Prevalence,United States,Male,80 plus,Lower respiratory infections,Percent,2017,0.00240100978125,0.00261693579522,0.00221686750214
Prevalence,United States,Female,80 plus,Lower respiratory infections,Percent,2017,0.00210761598128,0.00228967811303,0.00194264912956
Prevalence,United States,Male,10 to 14,Upper respiratory infections,Percent,2017,0.0465478596284,0.0633189744473,0.0305414620039
Prevalence,United States,Female,10 to 14,Upper respiratory infections,Percent,2017,0.0480374551398,0.0645944278113,0.0313788257377
Prevalence,United States,Male,15 to 19,Upper respiratory infections,Percent,2017,0.0390863733948,0.0537941675557,0.0271894083891
Prevalence,United States,Female,15 to 19,Upper respiratory infections,Percent,2017,0.0450151719424,0.0613160603049,0.0316747755557
Prevalence,United States,Male,20 to 24,Upper respiratory infections,Percent,2017,0.0374021626347,0.0515940635296,0.0260405817363
Prevalence,United States,Female,20 to 24,Upper respiratory infections,Percent,2017,0.0445474092729,0.0603771072864,0.0312304617869
Prevalence,United States,Male,25 to 29,Upper respiratory infections,Percent,2017,0.0376262215102,0.0512717510195,0.0266101549847
Prevalence,United States,Female,25 to 29,Upper respiratory infections,Percent,2017,0.0424491737476,0.0585952935553,0.0296509508166
Prevalence,United States,Male,30 to 34,Upper respiratory infections,Percent,2017,0.0370793725405,0.0492512004541,0.0258104252516
Prevalence,United States,Female,30 to 34,Upper respiratory infections,Percent,2017,0.0427823121179,0.0568681425004,0.0297996203733
Prevalence,United States,Male,35 to 39,Upper respiratory infections,Percent,2017,0.0375477133119,0.0515292800739,0.0269722503639
Prevalence,United States,Female,35 to 39,Upper respiratory infections,Percent,2017,0.0438525403208,0.0603510994986,0.0315452898564
Prevalence,United States,Male,40 to 44,Upper respiratory infections,Percent,2017,0.0367065174809,0.0498755181156,0.0255729303829
Prevalence,United States,Female,40 to 44,Upper respiratory infections,Percent,2017,0.0401478605536,0.0552426190289,0.0275906301945
Prevalence,United States,Male,45 to 49,Upper respiratory infections,Percent,2017,0.0341645935862,0.0496640575026,0.0236508276852
Prevalence,United States,Female,45 to 49,Upper respiratory infections,Percent,2017,0.0369034620028,0.0536243980437,0.0257249900377
Prevalence,United States,Male,50 to 54,Upper respiratory infections,Percent,2017,0.0330309327121,0.0449326322229,0.0228622654941
Prevalence,United States,Female,50 to 54,Upper respiratory infections,Percent,2017,0.0359138236662,0.0489321041293,0.0251750294399
Prevalence,United States,Male,55 to 59,Upper respiratory infections,Percent,2017,0.0328317562306,0.0455566317217,0.0228807913601
Prevalence,United States,Female,55 to 59,Upper respiratory infections,Percent,2017,0.0343604036999,0.0477180645824,0.0237324660713
Prevalence,United States,Male,60 to 64,Upper respiratory infections,Percent,2017,0.0306087766341,0.0417998627545,0.0200741600364
Prevalence,United States,Female,60 to 64,Upper respiratory infections,Percent,2017,0.0302119983392,0.0410976429779,0.0203721458056
Prevalence,United States,Male,65 to 69,Upper respiratory infections,Percent,2017,0.0292581281722,0.0410046754178,0.0203896752912
Prevalence,United States,Female,65 to 69,Upper respiratory infections,Percent,2017,0.0269612706025,0.038269753907,0.0185761810641
Prevalence,United States,Male,70 to 74,Upper respiratory infections,Percent,2017,0.0274037664941,0.0390499108792,0.0191824905065
Prevalence,United States,Female,70 to 74,Upper respiratory infections,Percent,2017,0.0250631091795,0.0356475810455,0.0176420518036
Prevalence,United States,Male,75 to 79,Upper respiratory infections,Percent,2017,0.0245751305895,0.0355195840084,0.016369461124
Prevalence,United States,Female,75 to 79,Upper respiratory infections,Percent,2017,0.0232846561641,0.0333867535618,0.0155512591238
Prevalence,United States,Male,80 plus,Upper respiratory infections,Percent,2017,0.024759767419,0.0315252507413,0.019032555443
Prevalence,United States,Female,80 plus,Upper respiratory infections,Percent,2017,0.021893887031,0.0278221558908,0.0169203995648
Prevalence,United States,Male,10 to 14,Hypertensive heart disease,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,10 to 14,Hypertensive heart disease,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,15 to 19,Hypertensive heart disease,Percent,2017,5.64171358096e-07,9.76797767764e-07,2.7016881232e-07
Prevalence,United States,Female,15 to 19,Hypertensive heart disease,Percent,2017,5.52893912378e-07,9.49104086305e-07,2.61844774688e-07
