measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,United States,Male,1 to 4,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,1 to 4,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,5 to 9,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,5 to 9,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,10 to 14,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,10 to 14,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,15 to 19,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,15 to 19,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,20 to 24,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,20 to 24,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,25 to 29,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,25 to 29,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,30 to 34,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,30 to 34,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,35 to 39,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Female,35 to 39,Alzheimer's disease and other dementias,Percent,2017,0.0,0.0,0.0
Prevalence,United States,Male,40 to 44,Alzheimer's disease and other dementias,Percent,2017,0.00010489246257,0.000138847886929,7.57404435494e-05
Prevalence,United States,Female,40 to 44,Alzheimer's disease and other dementias,Percent,2017,0.00012592822432,0.00016260033659,9.34405892239e-05
Prevalence,United States,Male,45 to 49,Alzheimer's disease and other dementias,Percent,2017,0.000554373587917,0.000705390932234,0.00042711995518
Prevalence,United States,Female,45 to 49,Alzheimer's disease and other dementias,Percent,2017,0.000651227090881,0.000817116361521,0.000512061519736
Prevalence,United States,Male,50 to 54,Alzheimer's disease and other dementias,Percent,2017,0.000967695447597,0.00117731246774,0.000786684923943
