measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,United States,Male,1 to 4,Chronic respiratory diseases,Percent,2017,0.131946604805,0.162407534101,0.103807827452
Prevalence,United States,Female,1 to 4,Chronic respiratory diseases,Percent,2017,0.0765932759189,0.0964910855129,0.0588093013003
Prevalence,United States,Male,5 to 9,Chronic respiratory diseases,Percent,2017,0.128654229358,0.156435466906,0.103923238346
Prevalence,United States,Female,5 to 9,Chronic respiratory diseases,Percent,2017,0.0812346688864,0.101403552078,0.0648333607786
Prevalence,United States,Male,10 to 14,Chronic respiratory diseases,Percent,2017,0.0812738200353,0.0963483783899,0.0666778934004
Prevalence,United States,Female,10 to 14,Chronic respiratory diseases,Percent,2017,0.058287474433,0.0695102602799,0.0480247590169
Prevalence,United States,Male,15 to 19,Chronic respiratory diseases,Percent,2017,0.0421840807893,0.0506695542178,0.0346979117617
Prevalence,United States,Female,15 to 19,Chronic respiratory diseases,Percent,2017,0.0481661738531,0.0574010463092,0.0396796144545
Prevalence,United States,Male,20 to 24,Chronic respiratory diseases,Percent,2017,0.0287505562086,0.033036732035,0.0243828802131
Prevalence,United States,Female,20 to 24,Chronic respiratory diseases,Percent,2017,0.042859285444,0.0495710305475,0.0361620211834
Prevalence,United States,Male,25 to 29,Chronic respiratory diseases,Percent,2017,0.0276079828745,0.0314685264519,0.0238065837943
Prevalence,United States,Female,25 to 29,Chronic respiratory diseases,Percent,2017,0.0449803373847,0.0520296692105,0.0392247003199
Prevalence,United States,Male,30 to 34,Chronic respiratory diseases,Percent,2017,0.0317569675612,0.0357008316129,0.027959810345
Prevalence,United States,Female,30 to 34,Chronic respiratory diseases,Percent,2017,0.0524258828045,0.0597809254943,0.0459298735198
Prevalence,United States,Male,35 to 39,Chronic respiratory diseases,Percent,2017,0.0382676385402,0.0428397941881,0.0341298128824
Prevalence,United States,Female,35 to 39,Chronic respiratory diseases,Percent,2017,0.0624523087853,0.0705638896606,0.0556695722098
Prevalence,United States,Male,40 to 44,Chronic respiratory diseases,Percent,2017,0.0492401444061,0.0553333198438,0.043283283068
Prevalence,United States,Female,40 to 44,Chronic respiratory diseases,Percent,2017,0.0783669228785,0.0874884462126,0.06967496089
Prevalence,United States,Male,45 to 49,Chronic respiratory diseases,Percent,2017,0.0677711836718,0.0750811319004,0.0609945844798
Prevalence,United States,Female,45 to 49,Chronic respiratory diseases,Percent,2017,0.102183284158,0.112346429971,0.0925746340069
Prevalence,United States,Male,50 to 54,Chronic respiratory diseases,Percent,2017,0.0940938306004,0.103858973481,0.0851856360905
Prevalence,United States,Female,50 to 54,Chronic respiratory diseases,Percent,2017,0.127888513873,0.139634223706,0.116957602763
Prevalence,United States,Male,55 to 59,Chronic respiratory diseases,Percent,2017,0.126393082965,0.138916639227,0.114959199841
Prevalence,United States,Female,55 to 59,Chronic respiratory diseases,Percent,2017,0.151688436063,0.164653916042,0.139023585332
Prevalence,United States,Male,60 to 64,Chronic respiratory diseases,Percent,2017,0.168043144795,0.185200203009,0.152370072975
Prevalence,United States,Female,60 to 64,Chronic respiratory diseases,Percent,2017,0.182111620992,0.199074227902,0.166944210538
Prevalence,United States,Male,65 to 69,Chronic respiratory diseases,Percent,2017,0.226530370169,0.247880464106,0.206217352119
Prevalence,United States,Female,65 to 69,Chronic respiratory diseases,Percent,2017,0.23252318085,0.253316919713,0.213538910727
Prevalence,United States,Male,70 to 74,Chronic respiratory diseases,Percent,2017,0.289349236992,0.313218316343,0.267002103538
Prevalence,United States,Female,70 to 74,Chronic respiratory diseases,Percent,2017,0.286534816045,0.308870363338,0.266252431618
