Male,Female
"1,935,117","1,847,935"
"1,958,585","1,871,014"
"2,005,544","1,916,500"
"2,043,010","1,955,655"
"2,066,951","1,976,372"
"2,061,200","1,967,081"
"2,052,956","1,964,271"
"2,055,735","1,966,584"
"2,079,723","1,986,471"
"2,073,148","1,988,726"
"2,071,778","1,989,162"
"2,138,037","2,051,224"
"2,149,819","2,058,568"
"2,132,987","2,042,234"
"2,125,640","2,038,819"
"2,129,720","2,045,739"
"2,116,165","2,034,255"
"2,112,553","2,029,872"
"2,172,385","2,083,442"
"2,214,784","2,115,655"
"2,183,139","2,086,544"
"2,187,086","2,091,237"
"2,195,296","2,103,476"
"2,221,758","2,119,886"
"2,277,473","2,167,045"
"2,325,853","2,213,205"
"2,365,886","2,245,334"
"2,421,270","2,312,599"
"2,451,756","2,366,969"
"2,439,805","2,366,339"
"2,340,865","2,273,519"
"2,281,327","2,220,984"
"2,239,886","2,181,619"
"2,243,280","2,189,693"
"2,249,252","2,210,880"
"2,167,622","2,148,244"
"2,191,368","2,181,076"
"2,181,162","2,180,124"
"2,149,359","2,156,217"
"2,195,430","2,186,919"
"2,046,663","2,058,650"
"2,001,502","2,018,752"
"1,972,584","2,002,157"
"1,913,289","1,940,751"
"1,973,101","1,994,174"
"1,900,492","1,937,417"
"1,919,298","1,970,074"
"2,005,221","2,052,817"
"2,114,614","2,168,043"
"2,145,730","2,184,045"
"2,025,376","2,071,196"
"1,976,883","2,027,460"
"1,968,619","2,033,163"
"2,001,325","2,067,526"
"2,114,408","2,191,195"
"2,137,586","2,236,979"
"2,125,123","2,235,893"
"2,111,795","2,230,590"
"2,125,774","2,259,796"
"2,142,211","2,271,644"
"2,052,677","2,199,986"
"2,027,951","2,187,221"
"1,991,220","2,165,425"
"1,905,842","2,090,246"
"1,879,040","2,071,538"
"1,783,428","1,991,169"
"1,703,888","1,914,181"
"1,627,863","1,836,574"
"1,564,129","1,781,346"
"1,520,465","1,731,958"
"1,462,120","1,674,584"
"1,435,378","1,647,705"
"1,483,236","1,707,812"
"1,074,771","1,259,662"
"1,044,301","1,238,863"
"998,390","1,199,896"
"1,003,690","1,218,702"
"854,930","1,056,331"
"760,170","960,647"
"701,319","898,590"
"643,638","831,640"
"593,628","788,013"
"525,766","715,575"
"480,165","671,025"
"436,527","631,230"
"371,082","551,385"
"337,306","519,340"
"299,845","479,078"
"264,191","438,887"
"232,649","403,333"
"191,220","345,227"
"160,941","306,231"
"131,684","262,383"
"103,415","217,370"
"81,893","182,384"
"61,994","145,092"
"46,046","111,417"
"32,611","84,358"
"23,543","62,607"
"14,596","42,528"
